Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 400 - Wytwarzanie i zaopatrywanie w energię elektryczną, gaz i wodę";"";"";"";"zł";26207,92;2022,78;606544,76;3133,07;15731,35;168,16;5076416,37;3136309,45;673868,36;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 600 - Transport i łączność";"";"";"";"zł";1899568529,22;1798385290,98;1857057771,55;1826255117,30;1389561118,40;1687636752,13;1891852459,64;2062021150,60;2330382660,12;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 630 - Turystyka";"";"";"";"zł";33309,99;65419,12;144508,92;56575,94;31349,06;88876,25;13472,82;174477,09;19787,29;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 700 - Gospodarka mieszkaniowa";"";"";"";"zł";1885599553,21;1790783889,53;1747570248,19;1598584215,76;1385982422,12;1771394715,25;1847710712,20;2168249482,71;2267649376,69;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 710 - Działalność usługowa";"";"";"";"zł";38177328,07;19761572,85;59950990,06;36402764,66;24127428,57;24674726,75;19525731,17;21045923,84;25324524,52;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 750 - Administracja publiczna";"";"";"";"zł";54544267,91;43560604,10;43565217,21;48013589,70;45523300,43;57821398,73;76715645,07;72332490,39;89913064,50;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa";"";"";"";"zł";1177473,50;356847,04;6609486,31;8978335,60;8361711,92;340615,00;341500,00;8251529,58;20869165,07;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 752 - Obrona narodowa";"";"";"";"zł";4575292,05;0,00;618168,82;1406479,65;708674,00;0,00;4915,46;971350,98;1161415,37;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa";"";"";"";"zł";99699313,96;100409868,81;102548420,11;116461237,76;122098953,39;128218914,05;149319515,57;166694640,83;201828565,74;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 755 - Wymiar sprawiedliwości";"";"";"";"zł";2143548,71;2181562,60;2176193,89;2283872,90;2284361,45;2298664,66;2300031,71;2301131,22;2457456,53;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 756 - Dochody od osób prawnych, od osób fizycznych i od innych jednostek nieposiadających osobowości prawnej oraz wydatki związane z ich poborem";"";"";"";"zł";7311675524,18;7973171222,46;9127008857,94;9546611113,83;9283180206,65;10797366864,51;11056627475,76;10703590894,19;15054032466,69;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 757 - Obsługa długu publicznego";"";"";"";"zł";0,00;318947,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 758 - Różne rozliczenia";"";"";"";"zł";1837909939,55;1918230389,61;2147475328,66;2346889163,22;2680186761,96;3247952415,28;3339622630,25;4188668891,28;5680018305,14;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 801 - Oświata i wychowanie";"";"";"";"zł";149542825,73;149873919,00;145628530,94;145733483,82;159704140,86;211009995,80;264679586,71;301972413,56;484969569,94;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 851 - Ochrona zdrowia";"";"";"";"zł";27258571,40;22977168,27;17856300,75;16099625,00;19721047,02;35402427,29;35686471,27;20124478,77;24393783,58;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 852 - Pomoc społeczna";"";"";"";"zł";954398005,78;135652952,11;134186442,50;136090357,25;146396315,42;144931523,69;220155284,38;186920584,91;237734656,29;;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"miasta na prawach powiatu";"Dział 853 - Pozostałe zadania w zakresie polityki społecznej";"";"";"";"zł";24317113,13;19799841,93;25516148,08;35627771,82;45466256,78;30436119,12;331199558,68;166711574,88;101712373,64;;
